area_type,location,size,total_sqft,bath,balcony,price
Built-up  Area,RPC layout,2 BHK,1100,2,2,68
Super built-up  Area,5th Block Hbr Layout,2 BHK,1100,2,2,48
Built-up  Area,Hebbal,2 BHK,1100,2,1,60
Super built-up  Area,Kasavanhalli,2 BHK,1100,2,1,65
Super built-up  Area,KR Puram,2 BHK,1100,2,2,45
Built-up  Area,Kalyan nagar,2 BHK,1100,2,1,70
Super built-up  Area,Yelahanka New Town,2 BHK,1100,2,1,58
Super built-up  Area,Basapura,2 BHK,1100,2,1,60
Super built-up  Area,Padmanabhanagar,2 BHK,1100,2,1,60
Super built-up  Area,Thanisandra,2 BHK,1100,2,1,38
Built-up  Area,Hennur Road,3 BHK,1100,2,1,78
Super built-up  Area,Abbaiah Reddy Layout,2 BHK,1100,2,2,38.5
Super built-up  Area,Dodda Nekkundi,2 BHK,1100,2,1,41.18
Super built-up  Area,Nallurhalli,2 BHK,1100,2,1,62
Super built-up  Area,Byrasandra,2 BHK,1100,2,2,55
Built-up  Area,Begur Road,2 BHK,1100,2,2,42.6
Super built-up  Area,Brindavan Layout,2 BHK,1100,2,2,38.68
Super built-up  Area,Billamaranahalli,2 BHK,1100,2,3,55
Super built-up  Area,HSR Layout,2 BHK,1100,2,2,44
Super built-up  Area,Vidyaranyapura,3 BHK,1100,2,2,72
Super built-up  Area,Kanakpura Road,3 BHK,1100,3,2,53
Super built-up  Area,Kanakpura Road,3 BHK,1100,3,2,58
Built-up  Area,Dena Bank Colony,2 BHK,1100,2,2,75
Super built-up  Area,Cooke Town,2 BHK,1100,2,3,90
Super built-up  Area,Banashankari,2 BHK,1100,2,1,63
Super built-up  Area,Kanakpura Road,3 BHK,1100,3,2,53
Super built-up  Area,Kothnoor Dinne,2 BHK,1100,2,2,38
Super built-up  Area,Air View Colony,2 BHK,1100,2,1,58.5
Super built-up  Area,Kanakpura Road,3 BHK,1100,2,1,53
Super built-up  Area,Marathahalli,2 BHK,1100,2,1,50
Super built-up  Area,BTM 2nd Stage,2 BHK,1100,2,2,47
Built-up  Area,Mallasandra,3 BHK,1100,2,3,76.3
Built-up  Area,Doddathoguru,2 BHK,1100,2,2,50
Super built-up  Area,Nagarbhavi,2 BHK,1100,2,2,46.2
Super built-up  Area,Vidyaranyapura,2 BHK,1100,2,1,41
Super built-up  Area,Neeladri Nagar,2 BHK,1100,2,2,30
Super built-up  Area,Thanisandra,2 BHK,1100,2,1,36
Super built-up  Area,7th Phase JP Nagar,2 BHK,1100,2,1,44
Built-up  Area,Richards Town,2 BHK,1100,2,1,90
Super built-up  Area,Kengeri Satellite Town KHB Apartment,3 BHK,1100,2,2,45
Built-up  Area,KR Puram,2 BHK,1100,2,1,39.9
Built-up  Area,Tumkur Road,4 Bedroom,1100,2,1,60
Carpet  Area,Dinnur,2 BHK,1100,2,0,65
Super built-up  Area,Nehru Nagar,2 BHK,1100,2,2,50
Super built-up  Area,R.T. Nagar,2 BHK,1100,2,2,85
Built-up  Area,Judicial Layout,5 BHK,1100,4,3,199
Super built-up  Area,Tindlu,2 BHK,1100,2,2,55
Super built-up  Area,Mallathahalli,2 BHK,1100,2,2,64.08
Super built-up  Area,Puttanahalli,2 BHK,1100,2,2,32
Super built-up  Area,Uttarahalli,2 BHK,1101,2,0,45
Super built-up  Area,OMBR Layout,2 BHK,1101,2,2,65.5
Super built-up  Area,Kasturi Nagar,2 BHK,1101,2,2,65
Super built-up  Area,Kasturi Nagar,2 BHK,1101,2,2,66
Super built-up  Area,OMBR Layout,2 BHK,1101,2,2,66
Super built-up  Area,Ramamurthy Nagar,2 BHK,1101,2,1,50
Super built-up  Area,Yelahanka,2 BHK,1101,2,2,37
Super built-up  Area,Munnekollal,2 BHK,1102,2,2,53.67
Super built-up  Area,Marathahalli,2 BHK,1102,2,2,53.67
Super built-up  Area,Whitefield,2 BHK,1102,2,1,48
Super built-up  Area,Marathahalli,2 BHK,1102,2,2,53.67
Built-up  Area,Yelahanka,2 BHK,1102,2,0,52
Super built-up  Area,Marathahalli,2 BHK,1102,2,2,53.67
Carpet  Area,Naganathapura,2 BHK,1103,2,1,55
Built-up  Area,Yelachenahalli,2 BHK,1103,2,2,55
Super built-up  Area,Doddathoguru,2 BHK,1104,2,2,39
Super built-up  Area,Channasandra,2 BHK,1104,2,1,35.5
Super built-up  Area,Sarjapur  Road,2 BHK,1104,2,1,34.22
Super built-up  Area,Yelahanka,2 BHK,1104,2,2,58
Super built-up  Area,Hosa Road,2 BHK,1104,2,0,36.43
Super built-up  Area,Ambalipura,2 BHK,1105,2,1,75
Built-up  Area,HMT Layout,2 BHK,1105,2,2,58
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1105,2,1,65
Super built-up  Area,NGR Layout,2 BHK,1105,2,1,52.48
Super built-up  Area,Bannerghatta Road,2 BHK,1105,2,1,51
Super built-up  Area,Kaggadasapura,2 BHK,1105,2,1,38.67
Super built-up  Area,Kaggadasapura,2 BHK,1105,2,1,38.65
Super built-up  Area,NGR Layout,2 BHK,1105,2,2,49.73
Super built-up  Area,Hoodi,2 BHK,1105,2,2,46.37
Super built-up  Area,Whitefield,2 BHK,1105,2,1,41.36
Super built-up  Area,Electronic City,3 BHK,1105,2,1,35
Super built-up  Area,Kasavanhalli,2 BHK,1105,2,2,42
Built-up  Area,Babusapalaya,2 BHK,1105,2,1,40
Super built-up  Area,Whitefield,2 BHK,1105,2,2,39.99
Super built-up  Area,Banashankari,2 BHK,1105,2,2,90
Super built-up  Area,Doddathoguru,2 BHK,1105,2,1,50
Super built-up  Area,Whitefield,2 BHK,1105,2,1,35.36
Super built-up  Area,Ankappa Layout,2 BHK,1105,2,2,50
Super built-up  Area,Mahalakshmi Layout,2 BHK,1105,2,1,80
Super built-up  Area,Phase 1 Kammasandra,2 BHK,1105,2,2,28.18
Built-up  Area,Kereguddadahalli,2 BHK,1105,2,2,27.6
Super built-up  Area,Varthur,2 BHK,1105,2,3,38
Super built-up  Area,Whitefield,2 BHK,1105,2,1,35.4
Super built-up  Area,Neeladri Nagar,2 BHK,1105,2,2,30
Built-up  Area,Banaswadi,2 BHK,1105,2,2,57
Super built-up  Area,Kaggadasapura,2 BHK,1105,2,1,39.5
Super built-up  Area,Sarjapur  Road,2 BHK,1105,2,2,40
Built-up  Area,Horamavu Agara,2 BHK,1106,2,1,43.09
Super built-up  Area,Kaggadasapura,2 BHK,1106,2,3,40
Super built-up  Area,Bidadi,2 BHK,1107,2,2,33
Super built-up  Area,Chandapura,3 BHK,1107,2,1,43
Built-up  Area,Green View Layout,2 BHK,1107,2,2,40
Super built-up  Area,Uttarahalli,2 BHK,1107,2,1,45
Super built-up  Area,JP Nagar,2 BHK,1107,2,1,57
Built-up  Area,Doddathoguru,2 BHK,1107,2,3,44
Super built-up  Area,Horamavu Agara,2 BHK,1107.83,2,1,41.51
Super built-up  Area,Horamavu Agara,2 BHK,1107.83,2,1,41.51
Super built-up  Area,Electronic City,2 BHK,1108,2,1,63
Super built-up  Area,Hoodi,2 BHK,1108,2,1,87
Super built-up  Area,Electronic City,2 BHK,1108,2,1,67.15
Super built-up  Area,Hoodi,2 BHK,1108,2,1,74.23
Super built-up  Area,Green View Layout,2 BHK,1108,2,1,48
Super built-up  Area,Electronic City,2 BHK,1108,2,1,63
Super built-up  Area,Marathahalli,3 BHK,1108,2,1,60
Super built-up  Area,Hoodi,2 BHK,1108,2,0,66.46
Super built-up  Area,Hoodi,2 BHK,1108,2,1,87.48
Super built-up  Area,Ananth Nagar,2 BHK,1109,2,1,60
Super built-up  Area,Panathur,2 BHK,1109,2,1,63
Super built-up  Area,Whitefield,2 BHK,1109,2,1,41.49
Super built-up  Area,Whitefield,2 BHK,1109,2,1,35.22
Super built-up  Area,Whitefield,2 BHK,1109,2,1,35.47
Super built-up  Area,Mylasandra,2 BHK,1110,2,2,55
Super built-up  Area,Kaggadasapura,2 BHK,1110,2,3,53
Super built-up  Area,Hagadur,2 BHK,1110,2,2,51
Super built-up  Area,Mylasandra,2 BHK,1110,2,2,41
Super built-up  Area,Electronic City,2 BHK,1110,2,1,40
Super built-up  Area,Kanakapura,2 BHK,1110,2,2,38.85
Super built-up  Area,Bommanahalli,2 BHK,1110,2,2,33
Plot  Area,Ramamurthy Nagar,2 Bedroom,1110,2,0,65
Super built-up  Area,Kanakpura Road,2 BHK,1110,2,2,43
Super built-up  Area,Vignana Nagar,2 BHK,1110,2,2,58
Super built-up  Area,Electronic City,2 BHK,1110,2,1,39.95
Super built-up  Area,Chandapura,3 BHK,1110,2,2,29.97
Super built-up  Area,Virat Nagar,2 BHK,1110,2,2,52
Super built-up  Area,Hebbal,3 BHK,1110,3,3,59
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1110,2,1,52
Built-up  Area,Yelachenahalli,2 BHK,1110,2,2,110
Super built-up  Area,Chandapura,3 BHK,1110,2,2,29.97
Super built-up  Area,Nagavara,2 BHK,1110,2,2,44.95
Super built-up  Area,Electronic City,2 BHK,1110,2,1,39.9
Super built-up  Area,Gottigere,2 BHK,1110,2,2,36.25
Built-up  Area,Kengeri Satellite Town,2 BHK,1110,2,1,43
Built-up  Area,Kudlu,2 BHK,1110,2,1,46
Super built-up  Area,Thanisandra,2 BHK,1110,2,2,46.5
Super built-up  Area,Electronic City,3 BHK,1111,3,1,50
Super built-up  Area,Thanisandra,2 BHK,1111,2,1,50
Super built-up  Area,Varthur,2 BHK,1111,2,2,41.88
Super built-up  Area,Hoodi,2 BHK,1111,2,1,49.43
Super built-up  Area,Varthur,2 BHK,1112,2,2,40
Super built-up  Area,Billekahalli,2 BHK,1112,2,2,62
Super built-up  Area,Hoodi,2 BHK,1112,2,1,88
Super built-up  Area,Ganga Nagar,2 BHK,1112,2,3,68
Super built-up  Area,Varthur,2 BHK,1112,2,2,40
Super built-up  Area,Sarjapur  Road,2 BHK,1112,2,1,62
Super built-up  Area,Sarjapur  Road,2 BHK,1112,2,1,58
Super built-up  Area,Motappa Layout,2 BHK,1113,2,1,51
Built-up  Area,Whitefield,2 BHK,1113,2,1,62
Super built-up  Area,Rachenahalli,2 BHK,1113,2,1,55
Built-up  Area,Chikkathoguru,2 BHK,1113,2,2,46
Super built-up  Area,Kudlu Gate,2 BHK,1113,2,1,50
Super built-up  Area,Akshaya Nagar,2 BHK,1113,2,1,52
Super built-up  Area,Bannerghatta,2 BHK,1113,2,1,70
Super built-up  Area,Sarjapur  Road,2 BHK,1113,2,1,44.5
Super built-up  Area,Motappa Layout,2 BHK,1113,2,1,52
Super built-up  Area,Electronics City Phase 1,2 BHK,1113.12,2,2,55
Super built-up  Area,Electronics City Phase 1,2 BHK,1113.27,2,2,53
Super built-up  Area,Thanisandra,2 BHK,1114,2,1,39
Super built-up  Area,Kada Agrahara,2 BHK,1115,2,1,40
Super built-up  Area,Sarjapur  Road,2 BHK,1115,2,2,50
Super built-up  Area,Choodasandra,2 BHK,1115,2,2,50
Super built-up  Area,Kaikondrahalli,2 BHK,1115,2,2,50
Super built-up  Area,Chennammana Kere,2 BHK,1115,2,2,56.87
Built-up  Area,KR Puram,2 BHK,1115,2,2,33.45
Super built-up  Area,Channasandra,2 BHK,1115,2,1,33.45
Super built-up  Area,Bannerghatta Road,2 BHK,1115,2,1,65.12
Super built-up  Area,Kasavanhalli,2 BHK,1115,2,2,50
Super built-up  Area,Channasandra,2 BHK,1115,2,1,40
Super built-up  Area,Sarjapur  Road,2 BHK,1115,2,1,60
Built-up  Area,Pragathi Nagar,2 BHK,1115,2,0,46
Super built-up  Area,Bannerghatta Road,2 BHK,1115,2,1,61
Super built-up  Area,Sarjapur  Road,2 BHK,1115,2,2,50
Super built-up  Area,Choodasandra,2 BHK,1115,2,1,50
Super built-up  Area,Sarjapur  Road,2 BHK,1115,2,2,50
Super built-up  Area,Sarjapur  Road,2 BHK,1115,2,2,43
Super built-up  Area,Sarjapur  Road,2 BHK,1115,2,2,50
Super built-up  Area,Sarjapur  Road,2 BHK,1115,2,1,50
Super built-up  Area,Whitefield,2 BHK,1115,2,1,55
Super built-up  Area,Yelahanka,2 BHK,1115,2,2,60
Super built-up  Area,Bannerghatta Road,2 BHK,1115,2,2,78
Super built-up  Area,Channasandra Layout,2 BHK,1115,2,1,50
Super built-up  Area,Channasandra,2 BHK,1115,2,1,35.8
Super built-up  Area,Bannerghatta Road,2 BHK,1115,2,1,61
Super built-up  Area,Whitefield,2 BHK,1115,2,1,51.91
Built-up  Area,Victoria Layout,2 BHK,1115,2,1,115
Super built-up  Area,Sarjapur  Road,2 BHK,1115,2,1,50
Super built-up  Area,Dominic Layout,3 BHK,1115,3,1,39.14
Super built-up  Area,Choodasandra,2 BHK,1115,2,2,50
Super built-up  Area,Hulimavu,2 BHK,1115,2,2,44.6
Super built-up  Area,Choodasandra,2 BHK,1115,2,1,50
Super built-up  Area,Sarjapur  Road,2 BHK,1115,2,2,50
Super built-up  Area,Whitefield,2 BHK,1115,2,0,34.555
Super built-up  Area,Whitefield,2 BHK,1116,2,1,51.91
Super built-up  Area,Magadi Road,2 BHK,1116,2,1,50
Super built-up  Area,Whitefield,2 BHK,1116,2,3,51.91
Super built-up  Area,Whitefield,2 BHK,1116,2,1,51.91
Super built-up  Area,Electronic City Phase II,2 BHK,1116,2,2,37
Built-up  Area,Rajanna Layout,2 BHK,1116,2,1,37.6
Super built-up  Area,New Thippasandra,2 BHK,1116,2,1,49.8
Super built-up  Area,Magadi Road,2 BHK,1116,2,1,51.89
Super built-up  Area,Electronic City Phase II,2 BHK,1116,2,2,40
Built-up  Area, Devarachikkanahalli,2 BHK,1116,2,1,47
Super built-up  Area,Whitefield,2 BHK,1116,2,3,51.91
Super built-up  Area,KR Puram,2 BHK,1116,2,1,45
Super built-up  Area,Whitefield,2 BHK,1116,2,3,51.91
Built-up  Area,Electronics City Phase 1,2 BHK,1116,2,1,33
Super built-up  Area,Whitefield,2 BHK,1116,2,3,48.76
Super built-up  Area,Kodigehaali,2 BHK,1117,2,2,56
Super built-up  Area,Sarjapur  Road,2 BHK,1117,2,3,29.99
Built-up  Area,6th block Koramangala,2 BHK,1117,2,1,110
Super built-up  Area,Whitefield,2 BHK,1118,2,1,75
Super built-up  Area,Seegehalli,2 BHK,1118,2,2,37.5
Super built-up  Area,Kaggadasapura,2 BHK,1118,2,0,30
Super built-up  Area,Whitefield,2 BHK,1118,2,1,42
Super built-up  Area,Doddakammanahalli,3 BHK,1119,2,1,48.5
Super built-up  Area,CV Raman Nagar,2 BHK,1120,2,2,55
Super built-up  Area,Koramangala,2 BHK,1120,2,0,65
Plot  Area,Hoodi,8 Bedroom,1120,8,3,145
Super built-up  Area,Yelahanka,2 BHK,1120,2,2,55
Super built-up  Area,JP Nagar,2 BHK,1120,2,2,33.6
Super built-up  Area,Sonnenahalli,2 BHK,1120,2,2,43
Plot  Area,Hoodi,8 Bedroom,1120,8,0,150
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1120,2,2,37.95
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1120,2,2,37.97
Super built-up  Area,Sai Gardens,2 BHK,1120,2,2,40
Super built-up  Area,Nagarbhavi,2 BHK,1120,2,3,53
Built-up  Area,Sarjapur  Road,2 BHK,1120,2,2,50
Super built-up  Area,Kundalahalli,2 BHK,1120,2,1,53.76
Super built-up  Area,Kalena Agrahara,2 BHK,1120,2,2,40
Super built-up  Area,Varthur,2 BHK,1120,2,2,44.24
Built-up  Area,Vidyaranyapura,2 BHK,1120,2,1,70
Plot  Area,Giri Nagar,4 Bedroom,1120,4,2,175
Super built-up  Area,Gottigere,2 BHK,1120,2,2,50
Super built-up  Area,Singasandra,2 BHK,1120,2,1,60
Built-up  Area,7th Phase JP Nagar,2 BHK,1120,2,2,65
Super built-up  Area,KR Puram,2 BHK,1120,2,2,36
Super built-up  Area,Kanakapura,2 BHK,1120,2,2,39.2
Super built-up  Area,Kengeri Satellite Town,2 BHK,1120,2,2,49
Super built-up  Area,Dodda Banaswadi,2 BHK,1120,2,3,36
Built-up  Area,Uttarahalli,2 BHK,1120,2,1,50
Super built-up  Area,Bharathi Nagar,2 BHK,1120,2,2,39.29
Plot  Area,Hoodi,8 Bedroom,1120,8,0,155
Super built-up  Area,Kanakpura Road,2 BHK,1120,2,1,51
Plot  Area,Sabari Nagar,2 Bedroom,1120,2,0,60
Built-up  Area,HSR Layout,2 BHK,1120,2,1,70
Super built-up  Area,Bannerghatta,2 BHK,1120,2,1,42.5
Super built-up  Area,Mahadevpura,2 BHK,1120,2,2,53
Super built-up  Area,Kasavanhalli,2 BHK,1121,2,2,78
Super built-up  Area,Shikaripalya,2 BHK,1121,2,1,43.72
Built-up  Area,Kasavanhalli,2 BHK,1121,2,2,75
Super built-up  Area,Bannerghatta Road,2 BHK,1122.5,2,0,58.935
Super built-up  Area,Bannerghatta Road,2 BHK,1122.5,2,0,61.74
Super built-up  Area,Hormavu,2 BHK,1123,2,1,56
Super built-up  Area,Uttarahalli,2 BHK,1123,2,1,48
Super built-up  Area,AECS Layout,2 BHK,1123,2,2,64
Super built-up  Area,Channasandra,2 BHK,1123,2,1,36
Built-up  Area,Uttarahalli,2 BHK,1123,2,2,60
Built-up  Area,Malleshwaram,2 BHK,1124,3,2,80
Super built-up  Area,Electronics City Phase 1,3 BHK,1124,2,2,55
Super built-up  Area,Sarjapur,2 BHK,1124,2,1,30.35
Super built-up  Area,Hulimavu,2 BHK,1125,2,2,50
Super built-up  Area,Billekahalli,2 BHK,1125,2,2,62
Plot  Area,Basavangudi,4 Bedroom,1125,4,3,180
Plot  Area,Doddagubbi,3 Bedroom,1125,4,1,70
Built-up  Area,Electronic City,2 BHK,1125,2,1,32.49
Super built-up  Area,Varthur,2 BHK,1125,2,2,40
Super built-up  Area,Whitefield,2 BHK,1125,2,2,62
Built-up  Area,Banashankari,2 BHK,1125,2,1,63
Plot  Area,Kengeri,4 Bedroom,1125,2,1,88
Super built-up  Area,Wilson Garden,2 BHK,1125,2,1,75
Super built-up  Area,Kodichikkanahalli,2 BHK,1125,2,1,52
Super built-up  Area,Kasavanhalli,2 BHK,1125,2,1,61.2
Super built-up  Area,Doctors Layout,2 BHK,1125,2,1,44
Built-up  Area,EPIP Zone,2 BHK,1125,2,1,65
Super built-up  Area,Brookefield,2 BHK,1125,2,2,70
Super built-up  Area,Electronic City,2 BHK,1125,2,1,58
Super built-up  Area,Mico Layout,2 BHK,1125,2,2,40
Super built-up  Area,Whitefield,2 BHK,1125,2,2,40
Super built-up  Area,Uttarahalli,2 BHK,1125,2,1,47
Super built-up  Area,Shakthi Nagar,2 BHK,1125,2,2,36
Built-up  Area,Electronic City Phase II,2 BHK,1125,2,1,29.25
Built-up  Area,Electronic City,2 BHK,1125,2,1,32.5
Super built-up  Area,Jakkur,2 BHK,1125,2,2,65
Super built-up  Area,Ramamurthy Nagar,2 BHK,1125,2,1,47
Super built-up  Area,NRI Layout,2 BHK,1125,2,2,45.56
Super built-up  Area,Uttarahalli,2 BHK,1125,2,1,48
Built-up  Area,Huskur,2 BHK,1125,2,1,32.49
Built-up  Area,Whitefield,2 BHK,1125,2,2,45
Built-up  Area,Electronic City Phase II,2 BHK,1125,2,1,32.49
Super built-up  Area,Electronics City Phase 1,2 BHK,1125,2,2,65
Super built-up  Area,Nagavara,2 BHK,1125,2,2,44.5
Super built-up  Area,8th Phase JP Nagar,2 BHK,1125,2,2,36.94
Super built-up  Area,Marathahalli,2 BHK,1125,2,3,55
Super built-up  Area,Marathahalli,2 BHK,1125,2,2,56.8
Super built-up  Area,Uttarahalli,2 BHK,1125,2,1,47.65
Super built-up  Area,Kaval Byrasandra,2 BHK,1125,2,1,41.5
Super built-up  Area,Bandepalya,2 BHK,1125,2,1,48
Super built-up  Area,Uttarahalli,2 BHK,1125,2,1,47
Built-up  Area,Bhoganhalli,2 BHK,1125,2,1,54
Super built-up  Area,Marathahalli,2 BHK,1125,2,1,54.8
Super built-up  Area,Electronic City Phase II,2 BHK,1125,2,1,32.49
Built-up  Area,Bommasandra Industrial Area,2 BHK,1125,2,1,32.49
Super built-up  Area,Uttarahalli,2 BHK,1125,2,1,47
Super built-up  Area,JP Nagar,2 BHK,1125,2,2,39.98
Super built-up  Area,Panathur,2 BHK,1125,2,2,45
Super built-up  Area,Doctors Layout,2 BHK,1125,2,1,55
Super built-up  Area,Uttarahalli,2 BHK,1125,2,1,48
Built-up  Area,CV Raman Nagar,2 BHK,1125,2,1,46
Built-up  Area,Electronic City,2 BHK,1125,2,1,32.49
Plot  Area,Bapuji Nagar,4 Bedroom,1125,3,2,126
Built-up  Area,Electronic City Phase II,2 BHK,1125,2,1,32.63
Built-up  Area,Bommasandra Industrial Area,2 BHK,1125,2,1,32.49
Super built-up  Area,Billekahalli,2 BHK,1125,2,1,65
Built-up  Area,Uttarahalli,2 BHK,1125,1,2,45
Super built-up  Area,Ramagondanahalli,2 BHK,1125,2,2,75
Super built-up  Area,Atmananda Colony,2 BHK,1125,2,2,55
Super built-up  Area,Uttarahalli,2 BHK,1125,2,1,47
Super built-up  Area,Electronic City,2 BHK,1125,2,1,28.13
Super built-up  Area,Mariyannapalya,2 BHK,1125,2,2,46
Super built-up  Area,Jakkur,2 BHK,1125,2,1,44.75
Super built-up  Area,Bommasandra,2 BHK,1126,2,1,28.15
Super built-up  Area,Akshaya Nagar,2 BHK,1126,2,1,55
Built-up  Area,HSR Layout,2 BHK,1126,2,1,69
Built-up  Area,Sompura,2 BHK,1126,2,2,39
Super built-up  Area,Sarjapura+Attibele Road,2 BHK,1126,2,1,36
Super built-up  Area,TC Palaya,2 BHK,1126,2,1,39.4
Super built-up  Area,9th Phase JP Nagar,2 BHK,1127,2,1,50
Super built-up  Area,HSR Layout,2 BHK,1127,2,1,68
Super built-up  Area,Atmananda Colony,2 BHK,1127,2,2,55
Super built-up  Area,Hulimavu,2 BHK,1127,2,1,65
Super built-up  Area,Bommasandra,2 BHK,1127,2,1,45
Super built-up  Area,Electronic City,2 BHK,1127,2,2,32
Super built-up  Area,Electronic City,2 BHK,1128,2,1,65
Super built-up  Area,Electronic City,2 BHK,1128,2,1,63
Super built-up  Area,Sarjapur,2 BHK,1128,2,1,60
Super built-up  Area,Electronic City,2 BHK,1128,2,1,68.75
Super built-up  Area,Indira Nagar,2 BHK,1128,2,2,105
Super built-up  Area,Electronic City,2 BHK,1128,2,1,65.49
Super built-up  Area,Sarjapur  Road,2 BHK,1128,2,2,59
Super built-up  Area,Electronic City,2 BHK,1128,2,1,65.65
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1128,2,2,38.24
Super built-up  Area,Thubarahalli,2 BHK,1128,2,2,75
Super built-up  Area,Electronic City,2 BHK,1128,2,1,64
Super built-up  Area,Electronic City,2 BHK,1128,2,1,65.35
Super built-up  Area,Electronic City,2 BHK,1128,2,1,65
Super built-up  Area,Electronic City,2 BHK,1128,2,1,68
Super built-up  Area,Electronic City,2 BHK,1128,2,1,65.5
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1128,2,1,48.79
Super built-up  Area,Dodda Nekkundi,2 BHK,1128,2,2,45
Super built-up  Area,Electronic City,2 BHK,1128,2,1,65.7
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1128,2,2,40
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1128,2,1,48.79
Super built-up  Area,Electronic City,2 BHK,1128,2,1,64
Super built-up  Area,Electronic City,2 BHK,1128,2,1,65.58
Super built-up  Area,Electronic City,2 BHK,1128,2,1,65.4
Super built-up  Area,Electronic City,2 BHK,1128,2,1,65.45
Super built-up  Area,Electronic City,2 BHK,1128,2,1,64.8
Super built-up  Area,Electronic City,2 BHK,1128,2,1,67
Super built-up  Area,Doddanekundi,2 BHK,1128,2,2,48.4
Super built-up  Area,Electronic City,2 BHK,1128,2,1,63.5
Super built-up  Area,7th Phase JP Nagar,2 BHK,1128,2,1,60
Carpet  Area,KR Puram,3 BHK,1128.76,3,0,47.405
Super built-up  Area,Hormavu,2 BHK,1129,2,1,44
Super built-up  Area,Sarjapur  Road,2 BHK,1129,2,1,69
Super built-up  Area,Gollarapalya Hosahalli,2 BHK,1129,2,1,50
Super built-up  Area,Whitefield,2 BHK,1130,2,1,42.16
Super built-up  Area,Hebbal Kempapura,2 BHK,1130,2,2,60
Built-up  Area,Electronic City,2 BHK,1130,2,1,32.64
Super built-up  Area,Byagadadhenahalli,3 BHK,1130,3,1,38
Super built-up  Area,Subramanyapura,3 BHK,1130,2,3,45.19
Super built-up  Area,Kanakapura,2 BHK,1130,2,1,45.2
Super built-up  Area,Yelachenahalli,2 BHK,1130,2,2,40
Super built-up  Area,Whitefield,2 BHK,1130,2,1,36
Super built-up  Area,Hormavu,2 BHK,1130,2,1,42.3
Built-up  Area,Electronic City,2 BHK,1130,2,1,32.63
Super built-up  Area,7th Phase JP Nagar,2 BHK,1130,2,2,73
Super built-up  Area,Bannerghatta Road,2 BHK,1130,2,2,78
Carpet  Area,Venugopal Reddy Layout,2 BHK,1130,2,1,52
Super built-up  Area,Hebbal Kempapura,2 BHK,1130,2,2,60
Super built-up  Area,Marathahalli,3 BHK,1130,2,2,58
Built-up  Area,Electronic City,2 BHK,1130,2,1,32.63
Super built-up  Area,Kanakapura,2 BHK,1130,2,1,45.2
Super built-up  Area, Devarachikkanahalli,2 BHK,1130,2,2,36
Super built-up  Area,Brookefield,2 BHK,1130,2,2,56
Super built-up  Area,Shanti Nagar,2 BHK,1130,2,0,74
Super built-up  Area,Abbigere,2 BHK,1130,2,1,46.33
Super built-up  Area,Koramangala,2 BHK,1130,2,2,63
Super built-up  Area,7th Phase JP Nagar,2 BHK,1130,2,2,85
Built-up  Area,Shanti Nagar,2 BHK,1130,2,1,75
Built-up  Area,Virudhu Nagar,2 BHK,1130,2,2,68
Built-up  Area,Sarjapur  Road,2 BHK,1130,2,2,55
Super built-up  Area,Whitefield,2 BHK,1130,2,1,36
Built-up  Area,Bommasandra Industrial Area,2 BHK,1130,2,1,32.64
Super built-up  Area,Kothanur,2 BHK,1130,2,2,55
Super built-up  Area,Thanisandra,2 BHK,1131,2,0,55.975
Built-up  Area,"ECC Road, Whitefield, ",2 BHK,1132,2,1,67
Super built-up  Area,Kaggadasapura,2 BHK,1132,2,2,42
Super built-up  Area,Hoodi,2 BHK,1132,2,1,89.37
Super built-up  Area,Whitefield,2 BHK,1132,2,1,79.28
Super built-up  Area,Hoodi,2 BHK,1132,2,0,67.9
Super built-up  Area,Hoodi,2 BHK,1132,2,1,89
Super built-up  Area,Sarjapur  Road,2 BHK,1132,2,1,70
Super built-up  Area,Yelahanka,2 BHK,1132.5,2,0,48.13
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1133,2,1,49.07
Super built-up  Area,VGP Layout,2 BHK,1133,2,2,55
Super built-up  Area,Hosa Road,2 BHK,1133,2,1,52
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1133,2,2,38.41
Built-up  Area,Harlur,2 BHK,1133,2,1,55
Built-up  Area,Raja Rajeshwari Nagar,2 BHK,1133,2,1,38.37
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1133,2,2,40
Super built-up  Area,JP Nagar,2 BHK,1133,2,1,33.99
Super built-up  Area,Maithri Layout,2 BHK,1134,2,1,40
Super built-up  Area,Uttarahalli,2 BHK,1134,2,1,45.36
Super built-up  Area,Seegehalli,2 BHK,1134,2,2,45
Super built-up  Area,Nagavarapalya,2 BHK,1134,2,2,55
Super built-up  Area,Kanakpura Road,2 BHK,1135,2,1,39.73
Super built-up  Area,Uttarahalli,3 BHK,1135,2,2,39.73
Super built-up  Area,Vasanthapura,2 BHK,1135,2,1,39.73
Super built-up  Area,Immadihalli,2 BHK,1135,2,2,68
